/* DATA DESCRIPTION:
Citation:	Engel, Anja; Borchard, Corinna; Loginova, Alexandra; Meyer, Judith; Hauss, Helena; Kiko, Rainer (2015): Mesocosm experiment Cape Verde 2012: chromophoric and fluorescent dissolved organic matter, polysaccharidic and proteinaceous gel particles production. doi:10.1594/PANGAEA.847693
Related to:	Engel, Anja; Borchard, Corinna; Loginova, Alexandra; Meyer, Judith; Hauss, Helena; Kiko, Rainer (2015): Effects of varied nitrate and phosphate supply on polysaccharidic and proteinaceous gel particle production during tropical phytoplankton bloom experiments. Biogeosciences, 12(19), 5647-5665, doi:10.5194/bg-12-5647-2015
	Loginova, Alexandra; Borchard, Corinna; Meyer, Judith; Hauss, Helena; Kiko, Rainer; Engel, Anja (2015): Effects of nitrate and phosphate supply on chromophoric and fluorescent dissolved organic matter in the Eastern Tropical North Atlantic: a mesocosm study. Biogeosciences, 12(23), 6897-6914, doi:10.5194/bg-12-6897-2015
Project(s):	Climate - Biogeochemistry Interactions in the Tropical Ocean (SFB754) (URI: http://www.sfb754.de)
Coverage:	LATITUDE: 16.740000 * LONGITUDE: -25.156600
	DATE/TIME START: 2012-10-02T00:00:00 * DATE/TIME END: 2012-10-19T00:00:00
	MINIMUM ELEVATION: -5.0 m * MAXIMUM ELEVATION: -5.0 m
Event(s):	CapeVerde_2012_Mesocosm * LATITUDE: 16.740000 * LONGITUDE: -25.156600 * DATE/TIME START: 2012-10-01T00:00:00 * DATE/TIME END: 2012-10-12T00:00:00 * ELEVATION: -5.0 m * LOCATION: Cape Verde * DEVICE: Mesocosm experiment (Mesocosm) (URI: http://invabio.wdc-mare.org/mesocubi.jpg)
Parameter(s):	Run ID (Run ID) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Sample code/label (Label) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Mesocosm ID
	Day of experiment [day] (DOE) * PI: Engel, Anja (eMail: aengel@geomar.de)
	DATE/TIME (Date/Time) * GEOCODE * PI: Engel, Anja (eMail: aengel@geomar.de)
	Treatment (Treatm) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Coomassie stainable particles, abundance [1/l] (CSP abund) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Coomassie stainable particles [µm**2/l] (CSP) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Coomassie stainable particles, equivalent spherical diameter [µm] (CSP ESD) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Slope (Slope) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Coomassie stainable particles
	Transparent exopolymer particles, abundance [1/l] (TEP abund) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Transparent exopolymer particles [µm**2/l] (TEP) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Transparent exopolymer particles, equivalent spherical diameter [µm] (TEP ESD) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Slope (Slope) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Transparent exopolymer particles
	Carbon, organic, dissolved [µmol/l] (DOC) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Nitrogen, total dissolved [µmol/l] (TDN) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Nitrogen, organic, dissolved [µmol/l] (DON) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Absorption coefficient, 325 nm [1/m] (ac325) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: aCDOM(325)
	Absorption coefficient, 355 nm [1/m] (ac355) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: aCDOM(355)
	Absorption coefficient, 375 nm [1/m] (ac375) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: aCDOM(375)
	Ratio (Ratio) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Ratio of absorption coefficient at 250 nm to absorption coefficient at 365 nm, E2/E3
	Ratio (Ratio) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Ratio of absorption coefficient at 465 nm to absorption coefficient at 665 nm, E4/E6
	Spectral slope of colored dissolved organic matter absorption [1/µm] (SCDOM) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Spectral slope of colored dissolved organic matter between 275 nm and 295 nm
	Spectral slope of colored dissolved organic matter absorption [1/µm] (SCDOM) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Spectral slope of colored dissolved organic matter between 350 nm and 400 nm
	Slope ratio (SR) * PI: Engel, Anja (eMail: aengel@geomar.de)
	Spectral slope of colored dissolved organic matter absorption [1/µm] (SCDOM) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Spectral slope of colored dissolved organic matter between 350 nm and 500 nm
	Fluorescence, dissolved organic matter, component [RU] (FDOM Comp) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Component 1
	Fluorescence, dissolved organic matter, component [RU] (FDOM Comp) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Component 2
	Fluorescence, dissolved organic matter, component [RU] (FDOM Comp) * PI: Engel, Anja (eMail: aengel@geomar.de) * COMMENT: Component3
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	6236 data points
*/
Run ID	Label	DOE [day]	Date/Time	Treatm	CSP abund [1/l]	CSP [µm**2/l]	CSP ESD [µm]	Slope (Coomassie stainable particles)	TEP abund [1/l]	TEP [µm**2/l]	TEP ESD [µm]	Slope (Transparent exopolymer particles)	DOC [µmol/l]	TDN [µmol/l]	DON [µmol/l]	ac325 [1/m]	ac355 [1/m]	ac375 [1/m]	Ratio (Ratio of absorption coefficie...)	Ratio (Ratio of absorption coefficie...)	SCDOM [1/µm] (Spectral slope of colored dis...)	SCDOM [1/µm] (Spectral slope of colored dis...)	SR	SCDOM [1/µm] (Spectral slope of colored dis...)	FDOM Comp [RU] (Component 1)	FDOM Comp [RU] (Component 2)	FDOM Comp [RU] (Component3)
1	1	1	2012-10-02	1200_0075	1075341.33300	21747114.030	2.298602971	-0.819284611	29352132.350	114986463.40	1.647406075	-2.008989864	91.8	7.7	7.700000000	0.158824788	0.080693412	0.030022192	16.908186480	-0.051979722	-47.7410	-39.0726	1.221853868	-25.115620000			
1	1	2	2012-10-03	1200_0075	2008182.44200	18602823.680	2.200668559	-1.389901462	29451095.990	115458412.40	2.022719855	-1.598411197	108.5	21.3	9.780000000	0.230248034	0.139953210	0.091404808	11.502484990	0.520071322	-39.2683	-14.7173	2.668165449	-25.728872000	0.014103122	0.072614218	0.087110740
1	1	3	2012-10-04	1200_0075									98.3	17.5	3.112600000	0.120826209	0.050678106	0.003536617	22.131749570	-0.573143876	-47.5829	-67.4268	0.291291310	-26.868651000	0.011553141	0.027655934	0.062550236
1	1	4	2012-10-05	1200_0075									116.2	17.6	9.447562100	0.218676226	0.123995723	0.069967277	12.588812010	0.254439166	-40.4944	-23.5528	1.719301562	-21.974485000			
1	1	5	2012-10-06	1200_0075	2036566.47800	22239303.900	2.578462641	-1.040960511	41284556.780	409943633.00	2.215199181	-1.369572593	101.0	12.0	7.934601800	0.241177443	0.136430966	0.076984159	10.239843080	0.127198093	-38.7264	-26.1123	1.483070778	-22.000549000	0.025501573	0.037516972	0.163843068
1	1	6	2012-10-07	1200_0075	7373573.52600	57857062.650	2.245684989	-1.294515285	96395419.710	442340260.50	1.756100987	-1.468815775	104.5	8.7	7.413820000	0.313448039	0.176327831	0.102974852	10.540627620	0.395047246	-36.2666	-21.4162	1.693420257	-20.677095000	0.019561285	0.061751571	0.011365512
1	1	7	2012-10-08	1200_0075	6278063.53100	69475136.280	2.415068327	-1.062955227	102167696.200	603996926.20	2.023172312	-1.458110977	137.2	7.3	7.287642300	0.425405955	0.248572629	0.154604082	9.337294761	0.737731750	-32.7120	-18.9181	1.729136186	-19.045573000	0.044804032	0.069361473	0.053143064
1	1	8	2012-10-09	1200_0075	7511826.64900	83782689.450	2.372858901	-1.166309782	72640691.510	386322095.80	2.025651584	-1.510020170	119.7	11.8	11.800000000	0.515505317	0.300210299	0.195428900	7.888631280	1.036327369	-28.4846	-17.2268	1.653503214	-19.057107000	0.025138176	0.083202052	0.019358659
1	2	1	2012-10-02	1200_0075	2340548.30800	23089297.030	2.198410537	-1.154951384	9782340.938	48287091.90	1.764790467	-1.788094889	90.0	8.1	8.100000000	0.123841910	0.059133340	0.016641938	19.120346520	-0.196526503	-48.6697	-71.6369	0.672512650	-26.115380000			
1	2	2	2012-10-03	1200_0075	2356968.52100	21975019.950	2.175259187	-1.464694695	9881304.581	48759040.90	2.245263804	-1.470730027	89.1	20.3	9.326800000	0.381568337	0.260637012	0.178055314	7.590810525	-0.491023619	-28.7972	-15.4452	1.864468475	-15.236815000	0.010469103	0.060463163	0.011599387
1	2	3	2012-10-04	1200_0075									99.0	17.8	7.166900000	0.145829419	0.069935178	0.020755205	17.117578490	-0.161517353	-45.3877	-49.4125	0.918545894	-25.263228000	0.011194021	0.032109778	0.048716932
1	2	4	2012-10-05	1200_0075									105.0	14.0	4.724631000	0.180292893	0.093289057	0.043098944	15.327443740	-0.004445874	-43.7217	-30.8926	1.415282399	-24.701359000			
1	2	5	2012-10-06	1200_0075	3177680.80200	29363185.720	2.311503725	-1.299418603	71490496.200	701840899.80	2.053460225	-1.426139354	101.3	11.3	8.078251500	0.213960296	0.112502525	0.050885584	11.907701910	-0.157994120	-43.4416	-37.9281	1.145366079	-21.924496000	0.019029906	0.037191839	0.081773512
1	2	6	2012-10-07	1200_0075	7135287.30500	65651602.400	2.214690578	-1.398566379	130965178.900	477005041.20	1.768507522	-1.488805161	95.6	7.0	7.000000000	0.348779730	0.196483344	0.120191346	9.878270882	0.494838110	-35.8631	-20.9471	1.712081458	-19.782114000	0.021064445	0.040072494	0.042621497
1	2	7	2012-10-08	1200_0075	5032346.54000	46403033.390	2.127184132	-1.374702587	92856971.630	524683917.10	2.137091693	-1.408216470	141.1	7.9	7.885445000	0.474665577	0.270241674	0.168639938	9.148751713	0.825571077	-32.7860	-19.7937	1.656383949	-18.566205000	0.023967132	0.068958115	0.061507416
1	2	8	2012-10-09	1200_0075	6991352.96400	63546854.690	2.127535573	-1.426830473	131172853.000	571074704.70	2.135726809	-1.442647327	114.5	10.9	10.900000000	0.527050829	0.311091484	0.204115473	7.822054437	0.984525512	-28.5252	-17.6323	1.617779314	-18.861068000	0.022960536	0.063857293	0.056849431
1	3	1	2012-10-02	1200_0075	732037.62060	11132113.340	2.199392784	-0.722534903	18224369.930	75108344.19	1.714711326	-1.830138756	89.1	7.5	7.500000000	0.149711229	0.072289605	0.026159475	16.832928430	-0.096015721	-48.2611	-41.4715	1.163716146	-25.915932000			
1	3	2	2012-10-03	1200_0075	2100703.94000	16143919.760	2.075971314	-1.416916037	18323333.580	75580293.19	1.927393729	-1.819853157	80.1	20.5	9.867000000	0.169936007	0.079805872	0.015493604	19.060237710	1.206631116	-38.7995	-74.6512	0.275667524	-21.161923000	0.011319069	0.022430185	0.081943306
1	3	3	2012-10-04	1200_0075									96.3	17.6	7.433000000	0.152090060	0.079231274	0.029500834	15.622953670	-0.217478756	-43.6027	-43.2714	1.007656652	-24.780334000	0.013115847	0.026253649	0.048284276
1	3	4	2012-10-05	1200_0075									112.6	15.4	5.860136900	0.209342808	0.113332519	0.060183174	13.124522490	0.176606636	-41.1171	-26.8529	1.531200776	-23.018804000			
1	3	5	2012-10-06	1200_0075	4011039.90600	40458776.450	2.409017737	-1.284356166	81315081.160	671524248.80	1.929961906	-1.509277891	104.7	11.3	7.474140000	0.244655475	0.133291853	0.070930507	10.694599230	0.060309144	-37.6100	-27.7707	1.354304101	-21.343449000	0.019923136	0.042866216	0.020818027
