PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Chen, HL; Zhou, JM; Xiao, BH				Chen, Hua-Lin; Zhou, Jiang-Min; Xiao, Bao-Hua			Characterization of dissolved organic matter derived from rice straw at different stages of decay	JOURNAL OF SOILS AND SEDIMENTS					International Symposium of Molecular Environmental Soil Science at the Interfaces in the Earths Critical Zone	OCT 10-14, 2009	Zhejiang Univ, Hangzhou, PEOPLES R CHINA		Zhejiang Univ			Returning of rice straw into paddy field, which not only can increase the organic carbon content of soil but also can introduce dissolved organic matter (DOM) into soil, is a popular farm management strategy. However, chemical and structural heterogeneities of DOM derived from rice straw are not well characterized. The aim of this paper was to study the chemical and structural characteristics of DOM derived from rice straw at the different stages of decay. A total of ten different DOM samples were obtained from aerobic biodegrading rice straw for ten different incubation times. Glass bottles contained a certain amount of rice straw, quartz sand, inoculum, and distilled water were placed on an incubator. At each time of interval, five replicate reactors were taken from the incubator and each was filled with 60 ml distilled water and shaken. After centrifugation, the supernatant was withdrawn from each replicate reactor and filtered through a 0.45-mu m membrane filter. The filtrates were analyzed for chemical and structural characteristics of the DOMs using elemental analyzer, Fourier transform infrared (FTIR) spectroscopy, and (1)H, (13)C-nuclear magnetic resonance spectroscopy. The results showed that the contents of dissolved organic carbon decreased dramatically in the early stage (from day 0 to day 3), then increased nearly linearly till day 63, and finally leveled off at about 22-24 mg g(-1) straw (from day 63 to day 180). The FTIR spectroscopy data indicated that the functional groups of the DOM samples were characterized by carboxyl, aliphatic, and aromatic groups. The elemental composition showed that the H/C atomic ratios decreased as a function of decay time, indicating aromaticity of DOM increased with decay time. The (1)H, (13)C-NMR spectra showed that the contents of carbohydrates decreased while the contents of aromatic groups increased as straw decay proceeded, suggesting carbohydrates were consumed faster than aromatic groups by microorganisms. Our results indicate that the DOM derived from rice straw are highly heterogeneous in terms of their structural and functional groups, and aromatic groups remain longer than other groups do, suggesting that the aromatic groups represent the stable portion of DOM.																	1439-0108					JUL	2010	10	5			SI		915	922		10.1007/s11368-010-0210-x						WOS:000278741300015		
J	Stubbins, A; Spencer, RGM; Chen, HM; Hatcher, PG; Mopper, K; Hernes, PJ; Mwamba, VL; Mangangu, AM; Wabakanghanzi, JN; Six, J				Stubbins, Aron; Spencer, Robert G. M.; Chen, Hongmei; Hatcher, Patrick G.; Mopper, Kenneth; Hernes, Peter J.; Mwamba, Vincent L.; Mangangu, Arthur M.; Wabakanghanzi, Jose N.; Six, Johan			Illuminated darkness: Molecular signatures of Congo River dissolved organic matter and its photochemical alteration as revealed by ultrahigh precision mass spectrometry	LIMNOLOGY AND OCEANOGRAPHY												Congo River water was filtered and then irradiated for 57 d in a solar simulator, resulting in extensive photodegradation of dissolved organic matter (DOM). Whole-water (i.e., unfractionated) DOM was analyzed pre- and post-irradiation using ultrahigh resolution Fourier transform ion cyclotron mass spectrometry (FT-ICR MS), revealing the following three pools of DOM classified based upon their photoreactivity: (1) photo-resistant, (2) photo-labile, and (3) photo-produced. Photo-resistant DOM was heterogeneous, with most molecular classes represented, although only a small number of aromatics and no condensed aromatics were identified. The photo-produced pool was dominated by aliphatic compounds, although it included a small number of aromatics, including condensed aromatics. Aromatic compounds were the most photoreactive, with. 90% being lost upon irradiation. Photochemistry also resulted in a significant drop in the number of molecules identified and a decrease in their structural diversity. The FT-ICR MS signatures of two classes of refractory organic matter, black carbon and carboxylic-rich alicyclic molecules (CRAM), were present in the sample prior to irradiation, indicating that the Congo River could be a significant exporter of recalcitrant DOM to the ocean. All black carbon-like molecules identified in the initial sample were lost during irradiation. Molecular signatures consistent with CRAM were also highly photo-labile, demonstrating that environmental solar irradiation levels are capable of removing these refractory compounds from aquatic systems. Irradiation also shifted the molecular signature of terrestrial DOM toward that of marine DOM, thereby complicating the task of tracking terrestrial DOM in the ocean.				Chen, Hongmei/N-2818-2013; Aron, Stubbins/M-8801-2014	Aron, Stubbins/0000-0002-3994-1946												0024-3590					JUL	2010	55	4					1467	1477		10.4319/lo.2010.55.4.1467						WOS:000283657000001		
J	Berto, D; Giani, M; Savelli, F; Centanni, E; Ferrari, CR; Pavoni, B				Berto, D.; Giani, M.; Savelli, F.; Centanni, E.; Ferrari, C. R.; Pavoni, B.			Winter to spring variations of chromophoric dissolved organic matter in a temperate estuary (Po River, northern Adriatic Sea)	MARINE ENVIRONMENTAL RESEARCH												The light absorbing fraction of dissolved organic carbon (DOC), known as chromophoric dissolved organic matter (CDOM) showed wide seasonal variations in the temperate estuarine zone in front of the Po River mouth. DOC concentrations increased from winter through spring mainly as a seasonal response to increasing phytoplankton production and thermohaline stratification. The monthly dependence of the CDOM light absorption by salinity and chlorophyll a concentrations was explored In 2003, neither DOC nor CDOM were linearly correlated with salinity, due to an exceptionally low Po river inflow Though the CDOM absorbance coefficients showed a higher content of chromophoric dissolved organic matter in 2004 with respect to 2003. the spectroscopic features confirmed that the qualitative nature of CDOM was quite similar in both years CDOM and DOC underwent a conservative mixing. only after relevant Po river freshets, and a change in optical features with an increase of the specific absorption coefficient was observed, suggesting a prevailing terrestrial origin of dissolved organic matter. Published by Elsevier Ltd.				Pavoni, Bruno/F-4686-2012; 	Pavoni, Bruno/0000-0002-0128-7512; Giani, Michele/0000-0003-4784-0149; GIANI, Michele/0000-0002-3306-7725												0141-1136	1879-0291				JUL	2010	70	1					73	81		10.1016/j.marenvres.2010.03.005						WOS:000279561400008	20416946	
J	D'Andrilli, J; Dittmar, T; Koch, BP; Purcell, JM; Marshall, AG; Cooper, WT				D'Andrilli, Juliana; Dittmar, Thorsten; Koch, Boris P.; Purcell, Jeremiah M.; Marshall, Alan G.; Cooper, William T.			Comprehensive characterization of marine dissolved organic matter by Fourier transform ion cyclotron resonance mass spectrometry with electrospray and atmospheric pressure photoionization (vol 24, pg 643, 2010)	RAPID COMMUNICATIONS IN MASS SPECTROMETRY																Dittmar, Thorsten/L-7796-2013	Dittmar, Thorsten/0000-0002-3462-0107												0951-4198					JUL	2010	24	13					1930	1930		10.1002/rcm.4602						WOS:000279375700014		
J	Jiang, DG; Huang, QH; Li, JH				Jiang De-gang; Huang Qing-hui; Li Jian-hua			Spectral Characteristics Variations of Chromophoric Dissolved Organic Matter During Growth of Filamentous Green Macroalgae	SPECTROSCOPY AND SPECTRAL ANALYSIS												As an important component of dissolved organic matter (DOM), chromophoric dissolved organic matter (CDOM) plays a central role in the global biogeochemical carbon cycle. Macroalgae are essential producers in aquatic ecosystems. They can release a considerable part of photosynthetic products as CDOM. So changes in optical properties of CDOM are studied on filamentous green macroalgae-Chadophorasle found in tidal flats of a brackish Lake Beihu in natural field condition by using spectrometry. Humic-like fluorescence peaks and protein-like fluorescence peaks detected by fluorescence excitation-emission matrix spectrum (EEMS) change little in control experiment but increase dramatically in incubation experiment. Applying parallel factor analysis (PARAFAC) together with fluorescence excitation-emission matrix can get four components of CDOM (C(1), C(2) C(3) and C(4)) which are relative to humic-like fluorescence peak A(C), M and protein-like fluorescence peak B, T respectively. In incubation experiment four components increase by 211.5%, 255.8%, 75.3% and 129.3% respectively while in control experiment components have little changes except C(1) decreasing by 34.3%. Absorption coefficient a(355) increases by 92.9% and has positive significant correlation(P<0.01) with the four components in incubation experiment while a(355) decreases by 59.8% and only has correlation (P<0.05) with C(1) in control experiment. As the parameters representing CDOM molecular weight and composition, M and S values in incubation experiment are smaller than in control experiment, which illustrate that aromatic and macromolecular CDOM is produced in growth of Chadophorasle. All results indicate that growth of Chadophorasle can change the content and composition of CDOM.				Huang, Qinghui/E-5157-2011	Huang, Qinghui/0000-0001-5770-6694												1000-0593					JUL	2010	30	7					1880	1885		10.3964/j.issn.1000-0593(2010)07-1880-06						WOS:000279504400034		
J	Amery, F; Degryse, F; Van Moorleghem, C; Duyck, M; Smolders, E				Amery, F.; Degryse, F.; Van Moorleghem, C.; Duyck, M.; Smolders, E.			The dissociation kinetics of Cu-dissolved organic matter complexes from soil and soil amendments	ANALYTICA CHIMICA ACTA												Complexes between dissolved organic matter (DOM) and copper (Cu) that dissociate very slowly can theoretically facilitate Cu leaching to the groundwater. Data on dissociation kinetics of Cu-DOM complexes present in soil and in soil amendments are limited. The dissociation kinetics of different Cu-DOM complexes from soil, wastewater, pig manure and sewage sludge was measured with the Competitive Ligand Exchange Method (CLEM) and Diffusive Gradient in Thin films (DGT) technique. The solutions were set at constant pH, Ca concentration and free Cu(2+) activity to allow comparison between the different samples. The average dissociation rate constant k(d) of the complexes, as measured by CLEM, was about 10(-3) s(-1) and the fractions of dissolved Cu that were undissociated after 8h ranged from <1% to 25%. These fractions determined by CLEM were significantly correlated with the non-labile fractions (0-82%) determined in the DGT tests and data analysis show that DGT data can be predicted from CLEM data. The dissociation rates decreased when Cu-DOM complexes had been equilibrated at lower Cu(2+) activities. Increasing the Cu-DOM contact time (7-297 days) decreased the dissociation rate. The non-labile fractions were positively correlated with the specific UV absorbance suggesting that aromatic moieties in DOM hold non-labile Cu. All natural Cu-DOM complexes contained a detectable fraction with a dissociation rate constant k(d) lower than 10(-5) s(-1) which can theoretically lead to non-equilibrium conditions and leaching risks in soil. (C) 2010 Elsevier B.V. All rights reserved.				Degryse, Fien/E-1231-2012	Degryse, Fien/0000-0002-4875-2944												0003-2670					JUN 18	2010	670	1-2					24	32		10.1016/j.aca.2010.04.047						WOS:000279100000004	20685412	
J	Wang, ZW; Tang, SJ; Zhu, YF; Wu, ZC; Zhou, Q; Yang, DH				Wang, Zhiwei; Tang, Shujuan; Zhu, Yufeng; Wu, Zhichao; Zhou, Qi; Yang, Dianhai			Fluorescent dissolved organic matter variations in a submerged membrane bioreactor under different sludge retention times	JOURNAL OF MEMBRANE SCIENCE												A pilot-scale submerged membrane bioreactor (MBR) for the treatment of real municipal wastewater was operated in this study under various sludge retention time (SRT) in order to verify the correlations of fluorescent dissolved organic matter (DOM) with membrane fouling. The fluorescent DOM determined by three-dimensional excitation-emission matrix (EEM) fluorescence spectroscopy and the trans-membrane pressure (IMP) under different SRT operation were investigated, and the correlations between them were analyzed. The results showed that the variations of fluorescent DOM (Peaks B and C) in the sludge supernatants correlated well with the variations of EEM spectra signal of bound extracellular polymeric substances (EPS) even though they were different in nature, i.e., the bound EPS were found to be more non-biodegradable than DOM. The fluorescent intensity (FI) variations of Peaks A and B in the EEM spectra of DOM were closely related to the IMP increase rate (membrane fouling) in the MBR, suggesting that they might be used to monitor the DOM variations and to indicate MBR performance. Through the EEM spectra analysis, it was confirmed in this work that the DOM in the sludge supernatants was not only originated from the bound EPS but also from the influent wastewater. (C) 2010 Elsevier B.V. All rights reserved.				Wang, Zhiwei/F-5666-2012	Wang, Zhiwei/0000-0001-6729-2237												0376-7388					JUN 15	2010	355	1-2					151	157		10.1016/j.memsci.2010.03.016						WOS:000277895400019		
J	Omori, Y; Hama, T; Ishii, M; Saito, S				Omori, Yuko; Hama, Takeo; Ishii, Masao; Saito, Shu			Relationship between the seasonal change in fluorescent dissolved organic matter and mixed layer depth in the subtropical western North Pacific	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS												Spatial and temporal distributions of marine humic-like fluorescent dissolved organic matter (FDOMM) were determined in the subtropical western North Pacific to evaluate the controlling factors of FDOMM behaviors. The observations were conducted at 4 stations (15-30 degrees N) along 137 E in a subtropical area between January 2006 and April 2007. The florescence intensity of FDOMM was low (0.14-0.25 quinine sulfate units (QSU)) in the surface layer probably due to photodegradation, and increased with depth (0.90-1.10 QSU at 1000 m), irrespective of season and station. In the surface layer, the thickness of the water mass with low fluorescence intensity (<0.3 QSU) showed the seasonal change by being deeper in winter and shallower in summer, depending on the mixed layer depth (MLD). The average fluorescence intensity within the mixed layer also varied seasonally at midlatitudes; the intensity in summer was 40.8-53.8% of that in winter. Since the MLD was very much shallower in summer than in winter, FDOMM in the mixed layer would be kept within a shallow depth during the summer where intensive photodegradation could occur. The concentration of total organic carbon (TOC) was at its maximum at the water surface and decreased with depth, being adverse to FDOMM. Thus, the ratio of fluorescence intensity to TOC concentration was lowest (0.002-0.003) in surface water, which implies that FDOMM is not quantitatively important to the dissolved organic carbon pool. However, considering the possible difference in the stabilities of FDOMM against photochemical and microbial degradation, it is conceivable that photobleached FDOMM is one of the important organic groups constituting marine dissolved organic matter.																	0148-0227					JUN 2	2010	115								C06001	10.1029/2009JC005526						WOS:000278454100001		
J	Chen, ML; Price, RM; Yamashita, Y; Jaffe, R				Chen, Meilian; Price, Rene M.; Yamashita, Youhei; Jaffe, Rudolf			Comparative study of dissolved organic matter from groundwater and surface water in the Florida coastal Everglades using multi-dimensional spectrofluorometry combined with multivariate statistics	APPLIED GEOCHEMISTRY												Dissolved organic matter (DOM) in groundwater and surface water samples from the Florida coastal Everglades were studied using excitation-emission matrix fluorescence modeled through parallel factor analysis (EEM-PARAFAC). DOM in both surface and groundwater from the eastern Everglades S332 basin reflected a terrestrial-derived fingerprint through dominantly higher abundances of humic-like PARAFAC components. In contrast, surface water DOM from northeastern Florida Bay featured a microbial-derived DOM signature based on the higher abundance of microbial humic-like and protein-like components consistent with its marine source. Surprisingly, groundwater DOM from northeastern Florida Bay reflected a terrestrial-derived source except for samples from central Florida Bay well, which mirrored a combination of terrestrial and marine end-member origin. Furthermore, surface water and groundwater displayed effects of different degradation pathways such as photodegradation and biodegradation as exemplified by two PARAFAC components seemingly indicative of such degradation processes. Finally, Principal Component Analysis of the EEM-PARAFAC data was able to distinguish and classify most of the samples according to DOM origins and degradation processes experienced, except for a small overlap of S332 surface water and groundwater, implying rather active surface-to-ground water interaction in some sites particularly during the rainy season. This study highlights that EEM-PARAFAC could be used successfully to trace and differentiate DOM from diverse sources across both horizontal and vertical flow profiles, and as such could be a convenient and useful tool for the better understanding of hydrological interactions and carbon biogeochemical cycling. (C) 2010 Elsevier Ltd. All rights reserved.				Yamashita, Youhei/A-3858-2012; 	Yamashita, Youhei/0000-0002-9415-8743; Chen, Meilian/0000-0002-7876-353X												0883-2927					JUN	2010	25	6					872	880		10.1016/j.apgeochem.2010.03.005						WOS:000278601900008		
J	Kim, HJ; Lee, DS; Kwon, JH				Kim, Hyo-Jung; Lee, Dong Soo; Kwon, Jung-Hwan			Sorption of benzimidazole anthelmintics to dissolved organic matter surrogates and sewage sludge	CHEMOSPHERE												The sorption coefficients of four rarely studied zwitterionic pharmaceuticals (benzimidazoles: fenbendazole, albendazole. thiabendazole and flubendazole) and four metabolites of fenbendazole to various dissolved organic matter surrogates (humic acid, sodium dodecyl sulfate micelle, hydroxypropyl-beta-cyclodextrin and liposomes made of 1-palmitoy1-2-oleoyl-sn-glycero-3-phosphocholine (POPC), and sewage sludge) were measured to extend the available sorption coefficients and eventually to evaluate their environmental fate in soil and water environment. For the entire range of dissolved organic matters, the more hydrophobic fenbendazole and albendazole had higher sorption coefficients than thiabendazole and flubendazole, indicating that the traditional hypothesis of hydrophobic interaction holds for zwitterionic benzimidazole anthelmintics. However, the sorption coefficients of a given benzimidazole to selected dissolved organic matters (DOMs) varied within an order of magnitude. The measured Km values decreased in the order of fenbendazole, albendazole, thiabendazole and flubendazole for sewage sludge and hydroxypropyl-beta-cyclodextrin whereas the orders were different for the other DOM surrogates, implying the hydrophilic nature of sewage sludge. This was also supported by the (N + O)/C elemental ratio of the sewage sludge sample used in this study. The correlations between log K(oc), and log K(ow) were weak (r(2) = 0.28-0.64) and the magnitude of the sorption coefficients to the hydrophilic organic matters (hydroxypropyl-beta-cyclodextrin and sewage sludge) were similar to or slightly smaller than those for the hydrophobic organic matters (humic acids and liposome). This suggests that specific hydrophilic interactions also play a significant role in the sorption of moderately hydrophobic benzimidazoles to organic matters. (C) 2010 Elsevier Ltd. All rights reserved.					Kwon, Jung-Hwan/0000-0002-6341-7562												0045-6535					JUN	2010	80	3					256	262		10.1016/j.chemosphere.2010.04.029						WOS:000279132900009	20452640	
