/begin_header
/identifier_product_doi=10.5067/SeaBASS/CLIVEC/DATA001
/received=20120801
/investigators=Antonio_Mannino,Margaret_Mulholland
/affiliations=Goddard_Space_Flight_Center,Old_Dominion_University
/contact=antonio.mannino@nasa.gov,mmulholl@odu.edu
/experiment=CliVEC
/cruise=CV6
/station=2,7,8,10,11A,12A,14,19,21A,23,26,28A,30,31A,33,38,39A,40,41,42,43,49,50,52,54,54A,56,61,63,64,64A,55,66,72,74,76,77,79,84,74,76,77,79,84,87,88,89A,91,98,101,102,103A,109,105,110,112,113,114A,116,120,121A,122,123,124,129,131A,132,132A,133,136,138A,140,141,142,146,146A,147,149,150,152,155,156,161,169,172,173,176,181,185,188,197,201,202,206,213,216,218,220
/data_file_name=CV6_OM_seabass.xlsx
/documents=DOM_method_CV6.txt,POC_method_CV6.txt
/calibration_files=no_cal_file.txt
/data_type=pigment
/data_status=preliminary
/start_date=20110602
/end_date=20110621
/start_time=12:00:00[GMT]
/end_time=22:00:00[GMT]
/north_latitude=43.9281[DEG]
/south_latitude=36.1867[DEG]
/east_longitude=-75.7894[DEG]
/west_longitude=-65.7698[DEG]
/water_depth=306
/cloud_percent=NA
/secchi_depth=NA
/wave_height=NA
/wind_speed=NA
!
!   COMMENTS   Pigments not found and those with SNR of 4 or less are given a concentration of 0.001,
!   Samples were collected with Go-Flo bottles deployed from a rosette; samples with depth designation 0  were collected from the ship's seawater flow-through system nominally 3.7m depth.
!   Depth values adjusted by 0.87m from CTD sensor to center of sampling bottle.
!   Units for DOC are umol/L and not in umol/kg
!   The CDOM S paramater is calculated from a non-linear fitting function from 300-600nm
!   Values listed as -777 are below the detection limit
!
/missing=-999
/delimiter=tab
/fields=date,time,station,lat,lon,depth,water_depth,DOC,TDN,POC,PN,S_ag,ag355,ag380,ag412,ag443
/units=yyyymmdd,hh:mm:ss,none,degrees,degrees,m,m,umol/L,mg/m^3,mg/m^3,mg/m^3,slope,1/m,1/m,1/m,1/m
/end_header
20110602	23:42:00	2	41.2145	-70.9100	3.0	31.79	87.11493839	86.9580549	362.7336168	46.97322399	0.018781259	0.428627093	0.281932586	0.170430215	0.101611976
20110602	17:50:00	2	41.2145	-70.9100	18.3	31.79	88.44275534	90.26350219	301.5972747	38.77423021	0.019221153	0.482404391	0.300867648	0.166057817	0.098001584
20110602	17:47:00	2	41.2145	-70.9100	28	31.79	90.34980054	98.94742071	482.6866805	69.99190235	0.018793051	0.424487431	0.270947059	0.161139644	0.090265558
20110603	22:20:00	7	40.4756	-71.7847	3	71	86.69919447	67.47491561	273.0532556	31.30304237	0.020532509	0.262512392	0.167392191	0.098789768	0.059926268
20110603	22:18:00	7	40.4756	-71.7847	19	71	84.12717336	-999.00	277.7826442	36.41782614	0.017516092	0.357867595	0.240629342	0.155994434	0.099255053
20110603	22:16:00	7	40.4756	-71.7847	33	71	90.25496887	-999.00	243.6800612	32.96018851	0.020611985	0.262972941	0.16587118	0.098907146	0.058018196
20110603	12:35:00	8	40.3093	-72.0794	0	63	85.87832796	-999.00	236.5383068	47.63276043	0.019834376	0.301225213	0.196336969	0.120016523	0.070580897
20110603	15:49:00	10	40.3477	-72.5538	2.7	50	87.73726153	74.87462291	241.7377829	44.44896178	0.020568012	0.342912632	0.218352125	0.122210328	0.072592466
20110603	15:49:00	10	40.3477	-72.5538	30	50	-999	-999.00	387.4601745	75.5392392	0.017940588	0.406124385	0.27193691	0.168991115	0.097377361
20110603	15:49:00	10	40.3477	-72.5538	48	50	79.64491279	109.2613693	362.6572036	73.73655632	0.01774842	0.416334027	0.280143318	0.174939879	0.099162269
20110603	16:33:00	11A	40.1483	-72.6899	0	57.9	88.27208101	90.92864966	238.8428551	44.22309452	-999	-999	-999	-999	-999
20110603	20:47:00	12A	39.9245	-72.4391	0	71.79	83.19555268	69.68657679	202.0172053	31.16419539	0.021540095	0.228677418	0.143649866	0.085202276	0.051216868
20110603	23:48:00	14	39.7255	-72.4950	2.8	82.5	82.24196674	74.81223596	234.775802	41.22386543	0.022104854	0.209468062	0.129456782	0.068209095	0.039639216
20110603	23:48:00	14	39.7255	-72.4950	23.4	82.5	76.23101858	70.99827883	224.2102431	50.41233376	0.020199292	0.208906179	0.130400746	0.075712423	0.043595623
20110603	23:48:00	14	39.7255	-72.4950	34	82.5	80.72232739	89.19343765	376.3904332	76.2261847	-999	-999	-999	-999	-999
20110604	10:37:00	19	39.2282	-73.2778	3	59.6	97.47011481	100.9036145	213.4995937	44.35793506	0.020715149	0.454562785	0.284127369	0.163782794	0.095482339
20110604	10:37:00	19	39.2282	-73.2778	17	59.6	93.47603439	-999.00	570.2589034	88.54399517	0.019766479	0.47439513	0.299762527	0.17457251	0.096018748
20110604	10:37:00	19	39.2282	-73.2778	27	59.6	88.36949333	101.79	348.4559249	70.18725231	0.01794803	0.44353752	0.282450135	0.175475512	0.099926446
20110604	14:47:00	21a	38.7336	-73.1452	0	121	94.15869883	84.08706806	147.6510953	24.53379191	0.021919033	0.282193182	0.174879299	0.100760249	0.059309075
20110604	17:29:00	22	38.4907	-73.3981	3	110	77.55415516	61.21351871	174.2481327	33.20097245	0.023870732	0.113190621	0.065652243	0.034411349	0.016787827
20110604	17:26:00	22	38.4907	-73.3981	51	110	69.24538426	62.4646693	217.3581563	45.85406287	0.017820635	0.18758784	0.125010494	0.080564122	0.04761889
20110604	17:25:00	22	38.4907	-73.3981	63	110	68.70667696	88.99802148	269.6721839	59.96018723	0.017867419	0.230396963	0.152427267	0.098300188	0.055590548
20110604	17:25:00	22	38.4907	-73.3981	108	110	-999	-999	-999	-999	0.017627825	0.030763583	0.014161975	0.01951872	0.012482812
20110604	22:51:00	22A	38.0634	-73.8406	0	306	78.92496397	78.22215941	146.8185265	26.67490948	-999	-999	-999	-999	-999
20110604	23:59:00	23	38.0577	-73.8483	2.8	271	79.76325103	69.62891832	168.1724166	32.77865209	0.018712259	0.123219499	0.081074927	0.051539593	0.034878605
20110604	23:59:00	23	38.0577	-73.8483	16.2	271	72.41028963	70.41407575	202.49722	41.13724725	0.018942001	0.154272092	0.101478748	0.064675557	0.041266708
20110604	23:59:00	23	38.0577	-73.8483	37	271	70.52481409	72.18061051	253.577671	57.8889592	0.017344217	0.195644995	0.13350852	0.086415892	0.054716183
20110604	23:59:00	23	38.0577	-73.8483	263	271	45.93955979	371.6789146	-999	-999	0.018152459	0.085352035	0.06288046	0.041231423	0.027169684
20110604	10:17:00	26	37.2250	-75.2422	3.2	28	110.8534821	92.07603965	179.4814467	42.77520971	0.022159571	0.355876505	0.213851864	0.117904394	0.069323835
20110605	10:15:00	26	37.2250	-75.2422	20	28	84.19451177	70.27275297	431.3209533	87.67429188	0.018161726	0.381289656	0.246671691	0.152385092	0.083379045
20110605	10:17:00	26	37.2250	-75.2422	0	28	115.7685451	88.91878061	152.4842381	31.379651	0.021902776	0.35509003	0.216270032	0.120055611	0.068361763
20110605	13:47:00	28A	36.9770	-74.9791	0	-999	-999	-999	143.6571703	28.94811009	0.020135944	0.447789807	0.282542739	0.166096917	0.103348118
20110605	16:48:00	30	36.8952	-74.9378	3	38	-999	95.28319068	142.7334429	-999	0.021766541	0.391809044	0.237911707	0.132982325	0.076118926
20110605	16:48:00	30	36.8952	-74.9378	11	38	102.3595511	80.40815403	190.8771174	47.38841791	0.020189489	0.397884649	0.24831824	0.144231778	0.085372111
20110605	16:48:00	30	36.8952	-74.9378	25	38	75.04419243	144.3039225	498.3206939	98.04179028	0.017900822	0.366297879	0.242502574	0.150767836	0.084191427
20110605	20:34:00	31A	36.3410	-74.8937	0	-999	110.9621503	92.85697603	139.406637	29.64637996	0.021178375	0.378953883	0.230708425	0.130289207	0.076879465
20110605	23:40:00	33	36.1867	-75.1489	3.2	36.6	102.3504825	99.54470952	144.3456066	32.6792284	0.022364191	0.319599165	0.190785919	0.103294771	0.060928514
20110605	23:38:00	33	36.1867	-75.1489	23.7	36.6	79.34327942	100.4841419	156.7131784	39.08993312	0.017142035	0.366226181	0.239930415	0.150027506	0.090542285
20110605	23:37:00	33	36.1867	-75.1489	31.9	36.6	76.10895803	-999	306.3859435	69.2765415	0.017646643	0.362848922	0.234558995	0.151045756	0.085570619
20110606	10:25:00	38	36.4451	-75.7894	3	18	123.3396115	111.5433054	343.8362186	62.50785204	0.020206442	0.509770523	0.316201036	0.177960915	0.106712598
20110606	10:25:00	38	36.4451	-75.7894	11	18	91.36402701	-999.00	540.7624172	81.41792102	0.017586812	0.423053222	0.271206155	0.173430518	0.10175169
20110606	14:00:00	39A	36.9499	-75.7334	0	17.8	121.4811678	104.8922939	213.5655287	38.75940384	0.020038881	0.431745084	0.264947953	0.15588842	0.093429051
20110606	16:20:00	40	37.3073	-75.6812	0	10.9	123.3214576	120.9066005	355.2395885	57.97110411	0.018665297	0.636598932	0.401221982	0.238669009	0.138928371
20110606	17:24:00	41	37.3952	-75.5730	3.1	18	119.8823431	104.878963	253.9656273	46.08892787	0.021365174	0.423865001	0.251901904	0.142671375	0.08177616
20110606	17:24:00	41	37.3952	-75.5730	11	18	95.62517082	-999	421.8397673	68.7476004	0.018449399	0.50559712	0.318105904	0.193928496	0.115697559
20110606	17:22:00	41	37.3952	-75.5730	15	18	97.05497242	-999.00	521.9843474	82.67217759	0.017899264	0.503425113	0.320569875	0.198566655	0.117765678
20110606	21:11:00	42	37.93284	-75.1805	0	16.2	116.0587633	109.0187503	347.5611513	59.34910985	0.018555892	0.561297204	0.355937789	0.211843167	0.127214667
20110606	23:59:00	43	38.1512	-74.7295	3.2	34.98	112.475495	86.65386785	202.5078896	35.17208637	0.020140997	0.450593309	0.278051793	0.15911985	0.091959965
20110606	23:58:00	43	38.1512	-74.7295	17.3	34.98	-999	82.17082499	444.7856568	78.61208476	0.017912748	0.441465651	0.283345497	0.177571907	0.10320442
20110606	23:58:00	43	38.1512	-74.7295	0	34.98	113.1407898	124.8072762	189.8007118	33.62777473	0.020006714	0.442859087	0.277334552	0.158110599	0.091592563
20110607	10:18:00	49	38.9217	-73.8967	3	39	-999	77.72718995	106.7640277	19.98315708	0.020909521	0.308449857	0.189021491	0.11261374	0.067585468
20110607	10:18:00	49	38.9217	-73.8967	20.5	39	-999	-999	551.8857663	78.57312175	0.018124622	0.416350812	0.267206517	0.164722151	0.092256752
20110607	10:18:00	49	38.9217	-73.8967	0	39	96.17509451	99.53455017	112.8865811	19.49644567	0.021142519	0.291335767	0.181005323	0.105226137	0.061236106
20110607	12:50:00	50	39.0617	-74.4098	0	25	116.8522255	107.7423343	299.8307852	48.04375579	-999	0.51344535	0.32175845	0.1845882	0.101939887
20110607	15:08:00	52	39.1736	-74.1058	2.8	28.6	109.5319058	89.77214368	273.7902843	47.24332036	0.020052382	0.503715516	0.310410765	0.177202161	0.099473298
20110607	15:06:00	52	39.1736	-74.1058	13.5	28.6	93.59048051	88.05809277	435.6952166	77.48983848	0.017994277	0.495199285	0.323172958	0.198731189	0.110204739
20110607	15:04:00	52	39.1736	-74.1058	0	28.6	109.3182708	97.10435258	221.0729801	37.12325634	0.019016968	0.520096493	0.330847799	0.194539983	0.113050257
20110607	18:14:00	54	39.5229	-74.1185	3	19.2	-999	115.7894737	496.4764064	93.2869068	0.018640547	0.592611334	0.381087619	0.220038541	0.127561229
20110607	18:14:00	54	39.5229	-74.1185	14	19.2	98.92471299	105.7250086	585.7703136	112.3022942	0.018000872	0.588901177	0.382716988	0.231333098	0.130946725
20110607	20:58:00	54A	39.9715	-74.0304	0	21.89	126.5218872	101.91222	416.8570106	71.20057556	0.018188744	0.710571666	0.461669639	0.26503162	0.154919885
20110607	23:59:00	56	40.3269	-73.7381	3	27.44	138.8590919	117.8985193	670.8436165	121.141473	0.017248349	1.260285374	0.826561722	0.480847443	0.276650369
20110607	23:59:00	56	40.3269	-73.7381	10.2	27.44	95.52359212	140.1111626	599.6599682	98.66680483	0.016630754	0.563591492	0.379860989	0.234173247	0.142707707
20110607	23:59:00	56	40.3269	-73.7381	22.4	27.44	85.21252973	169.1176471	426.3578327	69.74635939	0.018247683	0.474266465	0.314695136	0.181822585	0.104094354
20110608	10:29:00	61	40.7280	-72.1471	2.8	-999	104.6276644	94.5242081	316.5043215	53.60386064	0.019119185	0.060916104	0.091329212	0.16588811	0.279796011
20110608	10:27:00	61	40.7280	-72.1471	14.9	-999	-999	-999.00	318.0055206	51.88615384	0.018735641	0.357809352	0.235033219	0.140378577	0.07936406
20110608	10:24:00	61	40.7280	-72.1471	23.1	-999	84.60340644	81.73261838	305.1398938	59.31600543	0.017961205	0.392417029	0.262133413	0.165071856	0.092174633
20110608	15:32:00	63	40.2910	-71.2852	0.0	91.0	80.40389598	146.8852836	142.5070854	17.61752443	0.017864278	0.276845945	0.184350187	0.114337526	0.071211868
20110608	17:24:00	64	40.1444	-71.0815	2.5	146.8	83.44418354	102.8817777	261.6263016	37.63506988	0.020563418	0.203496396	0.130662981	0.071350794	0.043721704
