/begin_header
/received=20150519
/identifier_product_doi=10.5067/SeaBASS/CLIVEC/DATA001
/investigators=Antonio_Mannino,Margaret_Mulholland
/affiliations=Goddard_Space_Flight_Center,Old_Dominion_University
/contact=antonio.mannino@nasa.gov,mmulholl@odu.edu
/experiment=CliVEC
/cruise=CV5
/station=7,7A,9,10,17,17A,18,18A,20,26,27A,28,29A,30,33,37,38,39,44,44A,44B,45,45A,46,47,48A,52A,53A,53B,54,54A,55,61A,63,64,65,71,72,73,74,76,85,87,88,94,95,96,97,102,103,107,108,109,109A,110,117,118,118A,119,121,130,131A,132,133
/data_file_name=CV5_OM_pigments_Seabass
/documents=DOM_analysis_CV5.doc,POCanalysis_CV5.doc
/calibration_files=Protocol_DOC_Shimadzu.txt
/data_type=pigment
/data_status=preliminary
/start_date=20101106
/end_date=20101121
/start_time=12:02:00[GMT]
/end_time=20:35:00[GMT]
/north_latitude=44.299[DEG]
/south_latitude=36.14[DEG]
/east_longitude=-73.8913[DEG]
/west_longitude=-75.859[DEG]
/water_depth=513
/cloud_percent=NA
/secchi_depth=NA
/wave_height=NA
/wind_speed=NA
!
!   COMMENTS   Pigments not found and those with SNR of 4 or less are given a concentration of 0.001,
!   Samples were collected with Go-Flo bottles deployed from a rosette; samples with depth designation 0  were collected from the ship's seawater flow-through system nominally 3.7m depth.
!   Depth values adjusted by 0.87m from CTD sensor to center of sampling bottle.
!   Units for DOC are umol/L and not in umol/kg
!   The CDOM S paramater is calculated from a non-linear fitting function from 300-600nm
!   Values listed as -777 are below the detection limit
!
/missing=-999
/delimiter=tab
/fields=date,time,station,lat,lon,depth,water_depth,DOC,POC,PN,S,ag355,ag380,ag412,ag443,hpl_id,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha-beta-Car,But-fuco,Hex-fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,Chl_a,DV_Chl_a,Chlide_a,Chl_b,DV_Chl_b,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,TAcc_Tchla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,NO2_NO3,NO2,PO4,Urea,NH4,NPP,N2_fix
/units=yyyymmdd,hh:mm:ss,none,degrees,degrees,m,m,umol/L,mg/m^3,mg/m^3,1/m,1/m,1/m,1/m,1/m,none,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,none,none,none,none,none,none,none,none,none,none,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mg/m^3/d,ug/m^3/d
/end_header
20101106	12:02:00	7	39.9765	-73.8913	2.33	27.2	95.71879841	288.1305126	46.98968448	0.017758157	0.442830839	0.300349756	0.191002226	0.113501251	10-2367	2.659	0.178	0.476	0.077	0.001	0.066	0.050	0.077	0.006	0.989	0.039	0.016	2.613	0.001	0.046	0.178	0.001	0.335	0.141	0.002	0.019	0.015	0.035	0.194	0.001	0.001	3.313	0.226	1.094	4.407	1.320	1.974	4.633	1.338	0.74	0.83	0.17	2.51	0.05	0.95	0.57	0.77	0.09	0.14	1.09	-777.00	0.48	0.4815	0.096	4.692440156	-777
20101106	12:02:00	7	39.9765	-73.8913	2.33	27.2	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	10-2367.5	2.650	0.178	0.446	0.076	0.001	0.067	0.049	0.077	0.006	0.978	0.037	0.016	2.605	0.001	0.045	0.178	0.001	0.326	0.120	0.002	0.018	0.015	0.036	0.230	0.001	0.001	3.274	0.224	1.082	4.356	1.306	1.930	4.580	1.325	0.73	0.83	0.17	2.51	0.05	0.95	0.58	0.77	0.09	0.15	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
20101106	12:02:00	7	39.9765	-73.8913	9.73	27.2	94.3478975	315.9411365	43.65175969	0.018122173	0.443417238	0.296016608	0.186154983	0.109573156	10-2368	2.323	0.152	0.426	0.068	0.019	0.059	0.047	0.068	0.005	0.850	0.038	0.013	2.262	0.001	0.062	0.152	0.001	0.300	0.126	0.002	0.017	0.013	0.027	0.176	0.001	0.001	2.901	0.201	0.966	3.867	1.167	1.745	4.068	1.178	0.75	0.83	0.17	2.49	0.05	0.95	0.57	0.75	0.11	0.14	1.10	-777.00	0.42	0.4165	0.112	2.795943208	-777
20101106	12:02:00	7	39.9765	-73.8913	19.13	27.2	103.2712514	410.935067	58.67352229	0.018331126	0.440934804	0.291870104	0.174758419	0.106616639	10-2369	2.412	0.149	0.433	0.071	0.001	0.057	0.047	0.070	0.006	0.921	0.034	0.013	2.373	0.001	0.040	0.149	0.001	0.307	0.126	0.002	0.016	0.013	0.030	0.176	0.001	0.001	2.994	0.207	1.012	4.006	1.219	1.801	4.213	1.221	0.75	0.83	0.17	2.46	0.05	0.95	0.57	0.78	0.09	0.13	0.40	-777.00	0.48	0.477	0.113	0.734841816	-777
20101106	14:45:00	7A	39.7942	-73.4917	0	38.2	89.87110868	106.9547861	14.21107779	0.018380339	0.389827526	0.257405959	0.161129949	0.096606797	10-2370	0.698	0.146	0.129	0.029	0.014	0.033	0.031	0.025	0.003	0.200	0.017	0.009	0.682	0.001	0.016	0.146	0.001	0.086	0.043	0.002	0.016	0.013	0.001	0.045	0.001	0.001	0.973	0.097	0.264	1.237	0.361	0.636	1.334	0.450	0.91	0.73	0.27	2.70	0.07	0.93	0.52	0.48	0.17	0.34	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
20101106	18:08:00	9	39.7241	-72.9049	2.03	73.0	84.96504551	156.8111536	21.83756116	0.018192197	0.313663717	0.207845215	0.131344205	0.082335955	10-2371	1.305	0.133	0.306	0.041	0.033	0.083	0.062	0.064	0.007	0.420	0.053	0.014	1.245	0.001	0.060	0.133	0.001	0.207	0.099	0.004	0.015	0.014	0.009	0.083	0.001	0.001	1.744	0.188	0.589	2.333	0.777	1.216	2.521	0.798	0.93	0.76	0.24	2.24	0.07	0.93	0.52	0.59	0.22	0.18	3.98	0.10	0.33	0.3305	0.3995	0.504187877	0.36207885
20101106	18:08:00	9	39.7241	-72.9049	2.03	73.0	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	10-2724	1.299	0.131	0.284	0.038	0.034	0.081	0.059	0.059	0.007	0.407	0.020	0.012	1.270	0.001	0.029	0.131	0.001	0.193	0.091	0.003	0.014	0.012	0.020	0.047	0.001	0.001	1.714	0.175	0.542	2.256	0.717	1.132	2.431	0.744	0.87	0.76	0.24	2.39	0.07	0.93	0.53	0.57	0.23	0.19	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
20101106	18:08:00	9	39.7241	-72.9049	7.43	73.0	79.70885335	184.3734197	23.87131059	0.018265854	0.316635924	0.213258373	0.133627115	0.082462784	10-2372	1.321	0.136	0.285	0.040	0.035	0.083	0.062	0.062	0.006	0.402	0.053	0.015	1.282	0.001	0.038	0.136	0.001	0.190	0.095	0.004	0.015	0.014	0.001	0.071	0.008	0.001	1.742	0.185	0.573	2.315	0.758	1.179	2.500	0.786	0.89	0.76	0.24	2.30	0.07	0.93	0.53	0.58	0.23	0.19	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
20101106	18:08:00	9	39.7241	-72.9049	22.13	73.0	80.31526922	151.5624456	18.00336841	0.01802508	0.30612241	0.210546249	0.128566643	0.078465132	10-2373	0.954	0.107	0.227	0.032	0.033	0.073	0.036	0.028	0.002	0.320	0.018	0.011	0.943	0.001	0.011	0.107	0.001	0.136	0.091	0.003	0.013	0.007	0.001	0.073	0.001	0.001	1.288	0.109	0.444	1.732	0.553	0.887	1.841	0.598	0.93	0.80	0.20	2.33	0.06	0.94	0.52	0.57	0.24	0.20	2.20	-777.00	0.33	0.3335	0.1605	0.072246168	1.387163755
20101106	21:24:00	10	39.6859	-72.4582	2.33	73.0	94.77717184	259.8856198	40.39646394	0.017686053	0.33207782	0.228402909	0.144092016	0.087859615	10-2374	2.071	0.205	0.468	0.060	0.045	0.143	0.087	0.073	0.004	0.660	0.075	0.015	1.981	0.001	0.091	0.205	0.001	0.306	0.162	0.004	0.027	0.017	0.001	0.089	0.001	0.001	2.744	0.239	0.923	3.667	1.162	1.835	3.906	1.230	0.89	0.79	0.21	2.36	0.06	0.94	0.53	0.60	0.22	0.18	0.22	-777.00	0.34	0.3375	-777.00	3.992846392	2.842545594
