/begin_header
/received=20130401
/investigators=Antonio_Mannino,Margaret_Mulholland
/affiliations=Goddard_Space_Flight_Center,Old_Dominion_University
/contact=antonio.mannino@nasa.gov,mmulholl@odu.edu
!/experiment=GEO-CAPE
/experiment=GEO-CAPE
!/cruise=CBODAQ
/cruise=discover_aq_2011
/station=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
/data_file_name=GEOCAPE_OM_pigments
/documents=POCanalysis_GEOCAPE.doc,DOM_analysis_GEOCAPE.doc,NPP_analysis.doc
/calibration_files=no_cal_file.txt
/data_type=pigment
/data_status=preliminary
/start_date=20110711
/end_date=20110720
/start_time=12:00:00[GMT]
/end_time=22:00:00[GMT]
/north_latitude=39.1705[DEG]
/south_latitude=38.0977[DEG]
/east_longitude=-75.9973[DEG]
/west_longitude=-76.4906[DEG]
/water_depth=26.8224
/cloud_percent=NA
/secchi_depth=NA
/wave_height=NA
/wind_speed=NA
!
!   COMMENTS   Pigment values listed as 0.000999 were below detection limit or had SNR of 4 or less
!   The quality flag for the pigments is based on the % coefficient of variation for Tot_Chla replicate values, if analyzed: 0=no rep, 1=reps less than 5% error, 2=<10%, 3=<20%,4=<30,5=<40
!   Samples were collected with Go-Flo bottles except for stations 54-63 samples, for which surface water samples were collected directly into sample bottles from a Zodiac.
!   Depths for surface samples from stations 54-63 listed as 0m (see previous comment).
!   The quality flag for SPM is based on the % coefficient of variation for  replicate values, if analyzed: 0=no rep, 1=reps less than 5% error, 2=<10%, 3=<20%,4=<30,5=<40
!   Units for DOC are in umol/L and not in umol/kg; the values for SPM are in mg/l not g/l
!   Salinity was measured from leftover CDOM or DOC sample using a YSI handheld Temperature/Salinity meter callibrated with NIST traceable standards
!   A portion of the CDOM samples were collected and measured by different research institutions and discrepancies arose from the comparisons between match up stations.  The values reported here are all from NASA.  The missing values at depth are available as seabass scan files submitted by USF
!   S_ag CDOM spectral slope values were calculated from a non-linear fitting function between 300-600nm
!   The fields NPP_2hr and NPP_24hr stand for 2-4 hour incubations and 24 hour incubations see documents for more information
!
/missing=-999
/delimiter=tab
/fields=date,time,station,lat,lon,depth,water_depth,Sal,DOC,TDN,POC,PN,S_ag,ag355,ag380,ag412,ag443,SPM_flag,SPM,Tot_Chl_a_flag,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha-beta-Car,But-fuco,Hex-fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,Chl_a,DV_Chl_a,Chlide_a,Chl_b,DV_Chl_b,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,TAcc_Tchla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,NPP_2hr,NPP
/units=yyyymmdd,hh:mm:ss,none,degrees,degrees,m,m,PSU,umol/l,mmol/m^3,mg/m^3,mg/m^3,slope,1/m,1/m,1/m,1/m,none,mg/l,none,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,none,none,none,none,none,none,none,mg/m^3/d,mg/m^3/d
/end_header
20110711	14:10:00	1	39.13367167	-76.333845	0.50	7.32	5.8	208.1	20.81	2062.80	438.60	0.01835758	2.3476	1.5007	0.8569	0.4879	-999	-999	0	22.666	1.753	1.238	2.129	0.047	0.113	1.676	1.011	0.077	1.730	0.923	3.966	22.258	0.000999	0.408	1.753	0.000999	1.194	0.044	0.240	0.207	0.213	0.444	0.719	0.000999	0.000999	25.657	8.859	2.813	28.470	11.672	14.663	37.329	10.208	0.65	0.24	0.76	2.20	0.24	0.76	0.61	18.82191463	29.95728585
20110711	14:10:00	1	39.13367167	-76.333845	1.33	7.32	5.8	204.6	20.35	2029.17	361.11	-999	-999	-999	-999	-999	-999	-999	0	22.540	1.734	1.318	2.015	0.000999	0.119	1.780	0.950	0.064	1.807	0.903	3.620	22.307	0.000999	0.233	1.734	0.000999	1.267	0.051	0.229	0.202	0.287	0.467	0.641	0.000999	0.000999	25.593	8.429	2.829	28.422	11.258	14.310	36.851	9.963	0.63	0.25	0.75	2.27	0.23	0.77	0.61	11.11862021	23.07758548
20110711	14:10:00	1	39.13367167	-76.333845	2.33	7.32	5.9	215.0	20.07	1928.85	428.99	-999	-999	-999	-999	-999	-999	-999	0	19.126	1.409	0.962	2.037	0.046	0.092	1.271	0.706	0.041	1.652	0.575	3.451	18.844	0.000999	0.282	1.409	0.000999	0.918	0.044	0.193	0.170	0.225	0.497	0.741	0.000999	0.000999	21.497	7.506	2.365	23.862	9.871	12.242	31.368	8.496	0.64	0.24	0.76	2.18	0.24	0.76	0.61	3.056481128	7.334001862
20110711	16:05:00	2	39.09170333	-76.34583833	0.50	-999	6.0	205.0	25.08	1953.89	298.50	0.018283004	2.3651	1.5106	0.8675	0.4965	1	7.985	0	18.421	1.288	1.114	1.714	0.063	0.154	1.703	0.883	0.114	1.587	0.660	2.968	18.060	0.000999	0.361	1.288	0.000999	1.046	0.068	0.206	0.147	0.141	0.356	0.498	0.000999	0.000999	20.823	7.382	2.464	23.287	9.846	12.248	30.669	8.423	0.66	0.25	0.75	2.11	0.24	0.76	0.60	21.70653227	28.37037089
20110711	16:05:00	2	39.09170333	-76.34583833	1.23	-999	6.0	210.0	22.01	1730.83	-999	0.018207164	2.3837	1.5279	0.8804	0.5071	-999	-999	0	18.225	1.314	1.141	1.548	0.067	0.161	1.667	0.870	0.102	1.589	0.662	2.905	17.991	0.000999	0.234	1.314	0.000999	1.071	0.070	0.214	0.148	0.149	0.316	0.608	0.000999	0.000999	20.680	7.091	2.479	23.158	9.569	12.024	30.249	8.364	0.66	0.26	0.74	2.16	0.24	0.77	0.61	17.05	36.83
20110711	16:05:00	2	39.09170333	-76.34583833	2.73	-999	5.9	202.5	23.12	2443.19	326.48	0.018321724	2.1498	1.3738	0.7901	0.4523	-999	-999	0	18.032	1.172	0.994	1.636	0.049	0.155	1.461	0.699	0.063	1.589	0.495	2.886	17.785	0.000999	0.247	1.172	0.000999	0.933	0.061	0.191	0.139	0.144	0.387	0.681	0.000999	0.000999	20.198	6.745	2.288	22.486	9.033	11.199	29.231	7.807	0.62	0.25	0.75	2.24	0.23	0.77	0.62	5.53	9.41
20110711	17:34:00	3	39.050775	-76.35676833	0.50	10.00	7.2	202.7	15.86	3126.46	406.16	0.018450324	2.1946	1.4052	0.8087	0.4590	0	9.230	0	23.872	1.467	1.995	2.275	0.000999	0.089	1.629	1.621	0.093	1.163	2.778	4.244	23.579	0.000999	0.293	1.467	0.000999	1.948	0.047	0.152	0.182	0.177	0.356	0.484	0.000999	0.000999	27.334	9.862	4.030	31.364	13.892	17.354	41.226	11.370	0.73	0.29	0.71	1.97	0.24	0.76	0.58	29.12	44.37
20110711	17:34:00	3	39.050775	-76.35676833	1.23	10.00	7.2	201.1	14.67	2518.53	483.17	-999	-999	-999	-999	-999	-999	-999	0	24.017	1.456	1.831	2.143	0.000999	0.095	1.542	1.487	0.078	1.149	2.518	4.668	23.702	0.000999	0.315	1.456	0.000999	1.779	0.052	0.165	0.163	0.181	0.372	0.587	0.000999	0.000999	27.305	9.918	3.762	31.067	13.680	16.967	40.985	11.428	0.71	0.28	0.73	2.00	0.24	0.76	0.59	22.83	10.08
20110711	17:34:00	3	39.050775	-76.35676833	2.63	10.00	7.2	205.0	16.58	2277.85	370.09	-999	-999	-999	-999	-999	-999	-999	0	22.773	1.275	1.639	2.113	0.000999	0.083	1.356	1.255	0.042	1.140	2.170	4.358	22.581	0.000999	0.192	1.275	0.000999	1.588	0.051	0.139	0.159	0.182	0.428	0.619	0.000999	0.000999	25.687	9.124	3.393	29.080	12.517	15.431	38.204	10.382	0.68	0.27	0.73	2.05	0.24	0.76	0.60	6.39	34.64
20110711	18:58:00	4	38.97381667	-76.36534333	0.50	-999	7.8	207.5	16.08	2053.80	375.48	0.018436013	2.0792	1.3334	0.7709	0.4356	2	6.431	4	13.027	0.916	0.584	1.592	0.000999	0.023	0.882	0.319	0.022	0.784	0.314	3.166	12.864	0.000999	0.163	0.916	0.000999	0.557	0.028	0.087	0.119	0.127	0.270	0.542	0.000999	0.000999	14.526	5.981	1.121	15.646	7.101	8.601	21.627	6.084	0.66	0.16	0.84	2.06	0.28	0.73	0.61	27.27	45.68
20110711	18:58:00	4	38.97381667	-76.36534333	1.63	-999	7.9	199.3	14.03	1983.88	-999	0.018465446	2.0772	1.3347	0.7704	0.4399	-999	-999	0	14.510	1.133	0.708	1.914	0.000999	0.050	1.081	0.381	0.036	0.893	0.402	3.449	14.308	0.000999	0.202	1.133	0.000999	0.672	0.036	0.129	0.136	0.180	0.296	0.561	0.000999	0.000999	16.351	6.861	1.345	17.696	8.206	10.047	24.557	7.008	0.69	0.16	0.84	1.99	0.28	0.72	0.59	27.02	28.41
20110711	18:58:00	4	38.97381667	-76.36534333	3.23	-999	7.9	203.0	14.35	2181.79	406.34	0.018494968	2.0904	1.3395	0.7733	0.4389	-999	-999	0	16.577	1.070	0.716	1.949	0.000999	0.053	1.094	0.394	0.018	0.924	0.438	4.120	16.401	0.000999	0.176	1.070	0.000999	0.685	0.031	0.124	0.129	0.165	0.357	0.616	0.000999	0.000999	18.363	7.575	1.415	19.778	8.990	10.776	27.353	7.699	0.65	0.16	0.84	2.04	0.28	0.72	0.61	8.48	8.59
20110711	20:10:00	5	38.923365	-76.394635	0.50	-999	8.4	208.9	15.31	2253.70	340.22	0.018438591	2.0279	1.3035	0.7570	0.4335	2	6.313	0	15.905	1.218	0.743	1.877	0.000999	0.100	1.128	0.395	0.026	0.844	0.508	4.442	15.731	0.000999	0.174	1.218	0.000999	0.684	0.059	0.110	0.150	0.196	0.355	0.427	0.131	0.000999	17.865	7.868	1.452	19.317	9.320	11.281	27.185	8.240	0.71	0.16	0.84	1.92	0.29	0.71	0.59	24.61	-999
20110711	20:10:00	5	38.923365	-76.394635	1.83	-999	8.4	205.1	16.71	2277.21	309.54	-999	-999	-999	-999	-999	-999	-999	1	15.843	1.238	0.789	1.964	0.000999	0.101	1.168	0.408	0.031	0.855	0.499	4.444	15.588	0.000999	0.255	1.238	0.000999	0.726	0.063	0.119	0.152	0.188	0.331	0.527	0.131	0.000999	17.869	8.014	1.455	19.323	9.469	11.495	27.337	8.304	0.73	0.15	0.85	1.89	0.29	0.71	0.58	23.14	-999
20110711	20:10:00	5	38.923365	-76.394635	3.83	-999	8.3	205.7	14.40	2311.49	-999	-999	-999	-999	-999	-999	-999	-999	0	14.599	1.094	0.706	1.802	0.000999	0.088	0.993	0.355	0.028	0.784	0.412	4.158	14.432	0.000999	0.167	1.094	0.000999	0.644	0.063	0.093	0.136	0.188	0.303	0.425	0.124	0.000999	16.398	7.336	1.284	17.682	8.620	10.420	25.018	7.529	0.71	0.15	0.85	1.91	0.30	0.71	0.58	8.92	-999
20110711	21:19:00	6	38.89328833	-76.45458333	0.50	-999	8.5	208.8	14.96	2591.33	383.60	0.018418835	2.0347	1.3061	0.7539	0.4268	2	8.920	1	22.252	1.846	2.221	1.959	0.000999	0.076	1.270	1.765	0.039	0.737	3.477	3.687	21.914	0.000999	0.338	1.846	0.000999	2.181	0.040	0.126	0.218	0.253	0.438	0.498	0.189	0.000999	26.318	8.720	4.290	30.608	13.010	17.077	39.328	11.093	0.77	0.33	0.67	2.02	0.22	0.78	0.57	29.27	-999
20110711	21:19:00	6	38.89328833	-76.45458333	1.33	-999	8.5	204.8	14.78	2519.85	363.75	0.01840966	0.0184	1.9319	1.2406	0.7162	-999	-999	0	21.476	1.843	2.226	1.943	0.000999	0.075	1.250	1.765	0.052	0.733	3.498	3.379	21.173	0.000999	0.303	1.843	0.000999	2.185	0.041	0.116	0.233	0.247	0.358	0.447	0.221	0.000999	25.545	8.389	4.306	29.851	12.695	16.764	38.240	10.778	0.78	0.34	0.66	2.01	0.22	0.78	0.56	30.32	-999
20110711	21:19:00	6	38.89328833	-76.45458333	2.83	-999	8.5	205.5	16.09	2450.94	351.60	0.018375608	0.0184	2.0062	1.2896	0.7476	-999	-999	0	19.693	1.684	1.960	1.904	0.000999	0.077	1.244	1.516	0.031	0.693	3.065	3.238	19.381	0.000999	0.312	1.684	0.000999	1.918	0.042	0.129	0.196	0.229	0.419	0.448	0.163	0.000999	23.337	7.933	3.835	27.172	11.768	15.412	35.105	10.000999	0.78	0.33	0.67	1.98	0.23	0.77	0.56	7.84	-999
20110712	14:32:00	7	38.73225	-76.45881667	0.50	11.28	8.9	224.5	17.05	2364.12	341.44	0.0185	1.9121	1.2335	0.7207	0.4140	2	8.193	0	10.985	0.487	0.345	1.726	0.000999	0.090	0.334	0.230	0.000999	0.423	0.210	3.684	10.862	0.000999	0.123	0.487	0.000999	0.297	0.048	0.049	0.065	0.075	0.318	0.185	0.061	0.000999	11.817	5.974	0.723	12.540	6.697	7.529	18.514	5.228	0.69	0.11	0.89	1.76	0.32	0.68	0.59	9.87	15.74
20110712	14:32:00	7	38.73225	-76.45881667	2.18	11.28	9.0	214.2	15.83	2413.11	357.65	-999	-999	-999	-999	-999	-999	-999	0	10.865	0.529	0.356	1.631	0.000999	0.084	0.349	0.230	0.014	0.417	0.225	3.673	10.776	0.000999	0.089	0.529	0.000999	0.308	0.048	0.049	0.071	0.094	0.313	0.193	0.062	0.000999	11.750	5.895	0.725	12.475	6.620	7.505	18.370	5.276	0.69	0.11	0.89	1.78	0.32	0.68	0.60	12.21	24.64
20110712	14:32:00	7	38.73225	-76.45881667	4.63	11.28	8.9	218.0	16.38	2089.54	291.75	-999	-999	-999	-999	-999	-999	-999	0	8.990	0.464	0.264	1.421	0.000999	0.048	0.240	0.109	0.000999	0.460	0.135	2.835	8.893	0.000999	0.097	0.464	0.000999	0.220	0.044	0.034	0.069	0.068	0.399	0.260	0.044	0.000999	9.718	4.605	0.643	10.361	5.248	5.976	14.966	4.182	0.66	0.12	0.88	1.85	0.31	0.69	0.60	4.84	7.39
20110712	15:47:00	8	38.73214833	-76.45886833	0.50	11.28	8.9	222.2	16.67	1984.00	291.61	0.018662239	1.8960	1.2176	0.7081	0.4033	3	7.986	0	12.441	0.855	0.461	1.696	0.000999	0.099	0.642	0.323	0.000999	0.591	0.212	3.738	12.298	0.000999	0.143	0.855	0.000999	0.406	0.055	0.096	0.106	0.159	0.324	0.250	0.096	0.000999	13.757	6.399	0.902	14.659	7.301	8.617	21.058	6.137	0.69	0.12	0.88	1.88	0.30	0.70	0.59	-999	-999
20110712	15:47:00	8	38.73214833	-76.45886833	2.13	11.28	9.0	219.9	15.25	2165.45	316.75	0.018621413	1.9090	1.2305	0.7140	0.4049	-999	-999	0	13.602	0.952	0.526	1.823	0.000999	0.094	0.712	0.291	0.000999	0.601	0.250	3.919	13.401	0.000999	0.201	0.952	0.000999	0.466	0.060	0.095	0.101	0.180	0.384	0.304	0.095	0.000999	15.079	6.745	0.945	16.024	7.690	9.168	22.769	6.528	0.67	0.12	0.88	1.96	0.30	0.70	0.60	-999	-999
20110712	15:47:00	8	38.73214833	-76.45886833	4.43	11.28	9.2	202.1	14.18	2175.06	288.80	0.018443624	1.9475	1.2524	0.7335	0.4213	-999	-999	0	9.232	0.631	0.327	1.428	0.000999	0.053	0.392	0.114	0.000999	0.676	0.047	2.566	9.100	0.000999	0.132	0.631	0.000999	0.281	0.046	0.052	0.081	0.102	0.496	0.390	0.076	0.000999	10.190	4.500	0.776	10.966	5.276	6.234	15.466	4.365	0.68	0.15	0.85	1.93	0.29	0.71	0.60	-999	-999
20110712	17:04:00	9	38.73214833	-76.45886833	0.50	11.28	8.9	226.5	15.53	2273.90	276.22	0.01870833	1.8546	1.1919	0.6915	0.3955	3	6.075	1	11.318	0.670	0.318	1.540	0.000999	0.087	0.470	0.253	0.035	0.385	0.181	3.793	11.205	0.000999	0.113	0.670	0.000999	0.279	0.039	0.084	0.085	0.104	0.160	0.135	0.066	0.000999	12.306	6.091	0.653	12.959	6.743	7.731	19.049	5.586	0.69	0.10	0.90	1.83	0.32	0.68	0.60	-999	1.58
20110712	17:04:00	9	38.73214833	-76.45886833	2.03	11.28	8.8	218.4	16.93	2578.09	371.31	-999	-999	-999	-999	-999	-999	-999	0	15.163	0.992	0.542	1.954	0.000999	0.113	0.872	0.357	0.021	0.501	0.344	4.510	15.052	0.000999	0.111	0.992	0.000999	0.488	0.054	0.110	0.120	0.178	0.273	0.185	0.000999	0.000999	16.697	7.714	0.958	17.655	8.672	10.206	25.369	7.332	0.67	0.11	0.89	1.93	0.30	0.70	0.60	-999	17.03
20110712	17:04:00	9	38.73214833	-76.45886833	4.23	11.28	9.2	207.3	14.01	2155.52	309.93	-999	-999	-999	-999	-999	-999	-999	0	12.492	0.667	0.335	1.678	0.000999	0.056	0.424	0.132	0.011	0.709	0.048	3.396	12.366	0.000999	0.126	0.667	0.000999	0.292	0.043	0.077	0.080	0.114	0.464	0.437	0.077	0.000999	13.495	5.641	0.813	14.308	6.454	7.456	19.949	5.300	0.60	0.13	0.87	2.09	0.28	0.72	0.63	-999	19.47
20110712	18:26:00	10	38.73214833	-76.45886833	0.50	11.28	9.1	229.2	15.89	2845.73	368.34	0.018614237	1.8921	1.2246	0.7109	0.3986	2	8.240	0	14.795	1.089	0.594	2.046	0.000999	0.132	0.861	0.384	0.044	0.414	0.582	4.490	14.611	0.000999	0.184	1.089	0.000999	0.533	0.061	0.119	0.124	0.130	0.206	0.186	0.087	0.000999	16.478	7.825	1.128	17.606	8.953	10.636	25.431	7.568	0.72	0.13	0.87	1.84	0.31	0.69	0.58	-999	19.61
20110712	18:26:00	10	38.73214833	-76.45886833	2.13	11.28	9.0	226.7	15.72	3058.38	402.50	0.018638123	1.8952	1.2273	0.7086	0.3980	-999	-999	0	15.435	1.118	0.617	2.133	0.000999	0.138	0.901	0.379	0.028	0.459	0.419	4.717	15.340	0.000999	0.095	1.118	0.000999	0.550	0.067	0.104	0.127	0.183	0.221	0.151	0.077	0.000999	17.170	8.158	1.016	18.186	9.174	10.909	26.344	7.752	0.71	0.11	0.89	1.87	0.31	0.69	0.59	-999	18.21
