/begin_header
/identifier_product_doi=10.5067/SeaBASS/CLIVEC/DATA001
/received=20120315
/investigators=Antonio_Mannino,Margaret_Mulholland
/affiliations=Goddard_Space_Flight_Center,Old_Dominion_University
/contact=antonio.mannino@nasa.gov,mmulholl@odu.edu
/experiment=CliVEC
/cruise=CV2
/station=1,2,3,10,12,12A,12B,13,19,19A,20,20A,21,22,28,28A,29,29A,30,31,35,36,37,38,39,43,44,44A,45,45A,45B,46,51,52,52A,53,54,54A,55,59,59A,60,61,62,67,68A,69,74A,76,77,81,82A,83,83A,84,90,92,92A,93,94A,95,101,102,103,103A,104,105,106
/data_file_name=CV2_OM_pigments_Seabass
/documents=DOM_analysis_CV1.doc,POCanalysis_CV1.doc
/calibration_files=Protocol_DOC_Shimadzu.txt
/data_type=pigment
/data_status=preliminary
/start_date=20091103
/end_date=20091119
/start_time=12:00:00[GMT]
/end_time=22:00:00[GMT]
/north_latitude=43.0165[DEG]
/south_latitude=36.4718[DEG]
/east_longitude=-66.0883[DEG]
/west_longitude=-75.7845[DEG]
/water_depth=516
/cloud_percent=NA
/secchi_depth=NA
/wave_height=NA
/wind_speed=NA
!
!   COMMENTS   Pigments not found and those with SNR of 4 or less are given a concentration of 0.001,
!   Samples were collected with Go-Flo bottles deployed from a rosette; samples with depth designation 0  were collected from the ship's seawater flow-through system nominally 3.7m depth.
!   Depth values adjusted by 0.87m from CTD sensor to center of sampling bottle.
!   Units for DOC are in umol/L and not in umol/kg
!   NPP = net primary productivity (mg C/m^3/day) based on C uptake from enriched 13C bicarbonate incubations.
!   The CDOM S paramater is calculated from a non-linear fitting function from 300-600nm
!   N2_fix = nitrogen fixation rates  (mg N/m^3/day) based on N2 uptake from enriched 15N incubations.
!   Values listed as -777 are below the detection limit
!   S CDOM spectral slope values were calculated from a non-linear fitting function between 300-600nm
!
/missing=-999
/delimiter=tab
/fields=date,time,station,lat,lon,depth,water_depth,DOC,POC,PN,S,ag355,ag380,ag412,ag443,hpl_id,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha-beta-Car,But-fuco,Hex-fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,Chl_a,DV_Chl_a,Chlide_a,Chl_b,DV_Chl_b,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,TAcc_Tchla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,NO2_NO3,NO2,PO4,Urea,NH4,CHL,NPP,N2_fix
/units=yyyymmdd,hh:mm:ss,none,degrees,degrees,m,m,umol/L,mg/m^3,mg/m^3,1/m,1/m,1/m,1/m,1/m,none,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,none,none,none,none,none,none,none,none,none,none,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mg/m^3,mg/m^3/d,ug/m^3/d
/end_header
20091103	17:44:00	1	41.0180	-71.0817	1.83	43	71.38171956	283.3081071	62.36196129	0.018783787	0.396622392	0.260661995	0.156529838	0.088597367	10-0163	2.359	0.203	0.347	0.090	0.017	0.040	0.197	0.125	0.021	0.698	0.033	0.040	2.330	0.001	0.029	0.203	0.001	0.269	0.078	0.009	0.023	0.030	0.020	0.055	0.001	0.001	2.909	0.473	0.788	3.697	1.261	1.811	4.170	1.228	0.77	0.62	0.38	2.31	0.11	0.89	0.57	0.60	0.21	0.20	3.83	1.30	0.48	0.04	0.04	1.27	2.266507742	2.926885942
20091103	17:44:00	1	41.0180	-71.0817	1.83	43	-999	-999	-999	-999	-999	-999	-999	-999	10-0163.5	2.353	0.202	0.342	0.091	0.017	0.039	0.196	0.125	0.020	0.692	0.032	0.039	2.323	0.001	0.029	0.202	0.001	0.266	0.076	0.009	0.021	0.029	0.019	0.064	0.001	0.001	2.897	0.471	0.780	3.677	1.251	1.795	4.148	1.217	0.76	0.62	0.38	2.32	0.11	0.89	0.57	0.59	0.21	0.20	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999
20091103	17:44:00	1	41.0180	-71.0817	5.53	43	76.98007799	260.4984395	38.54007618	0.018644236	0.403133359	0.265262	0.160396308	0.094688596	10-0164	2.420	0.208	0.355	0.092	0.016	0.039	0.204	0.129	0.013	0.713	0.037	0.036	2.402	0.001	0.018	0.208	0.001	0.276	0.079	0.008	0.022	0.031	0.019	0.053	0.001	0.001	2.983	0.474	0.805	3.788	1.279	1.842	4.262	1.253	0.76	0.63	0.37	2.33	0.11	0.89	0.57	0.60	0.21	0.19	2.98	0.86	0.46	0.06	0.38	1.34	-999	-999
20091103	17:44:00	1	41.0180	-71.0817	22.53	43	73.96077983	246.1791531	39.31926743	0.01836667	0.368963506	0.242856357	0.15056067	0.087034507	10-0167	2.500	0.238	0.407	0.095	0.023	0.066	0.184	0.068	0.007	0.697	0.059	0.035	2.477	0.001	0.023	0.238	0.001	0.310	0.097	0.005	0.026	0.025	0.021	0.094	0.001	0.001	3.145	0.389	0.845	3.990	1.234	1.879	4.379	1.302	0.75	0.68	0.32	2.55	0.09	0.91	0.57	0.58	0.21	0.21	4.45	1.18	0.63	0.02	0.22	1.37	1.33271358	2.182701786
20091103	19:11:00	2	40.9367	-70.8133	0	-999	76.31264894	303.4534852	31.38005988	0.018356178	0.392627202	0.259081848	0.157876265	0.090636732	10-0165	1.785	0.173	0.273	0.070	0.015	0.039	0.139	0.089	0.015	0.523	0.026	0.039	1.771	0.001	0.014	0.173	0.001	0.200	0.073	0.008	0.019	0.025	0.025	0.052	0.001	0.001	2.231	0.352	0.603	2.834	0.955	1.401	3.186	0.954	0.78	0.63	0.37	2.34	0.11	0.89	0.56	0.58	0.20	0.22	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999
20091103	21:43:00	3	40.6840	-71.0785	1.63	-999	68.07993543	273.034517	36.00901858	0.019084692	0.296330398	0.195684639	0.118578839	0.067823153	10-0166	1.443	0.124	0.266	0.048	0.027	0.082	0.075	0.068	0.007	0.423	0.058	0.011	1.418	0.001	0.025	0.124	0.001	0.173	0.093	0.005	0.013	0.015	0.012	0.056	0.001	0.001	1.833	0.209	0.590	2.423	0.799	1.189	2.632	0.800	0.82	0.74	0.26	2.29	0.08	0.92	0.55	0.60	0.23	0.17	3.29	0.62	0.56	0.03	0.12	1.16	1.736651552	0.287111587
20091103	21:43:00	3	40.6840	-71.0785	1.63	-999	-999	-999	-999	-999	-999	-999	-999	-999	10-0168	1.424	0.124	0.267	0.048	0.028	0.084	0.077	0.069	0.006	0.419	0.058	0.010	1.382	0.001	0.042	0.124	0.001	0.173	0.094	0.005	0.014	0.016	0.012	0.056	0.001	0.001	1.815	0.210	0.589	2.404	0.799	1.190	2.614	0.800	0.84	0.74	0.26	2.27	0.08	0.92	0.54	0.60	0.24	0.17	-999.00	-999.00	-999.00	-999.00	0.05	-999.00	-999	-999
20091103	21:40:00	3	40.6840	-71.0785	18.93	-999	71.19828711	203.9104859	27.26243512	0.018901311	0.301786152	0.200557191	0.12372903	0.07056649	10-0169	1.575	0.114	0.296	0.049	0.026	0.084	0.055	0.050	0.004	0.524	0.055	0.009	1.553	0.001	0.022	0.114	0.001	0.185	0.111	0.004	0.012	0.010	0.013	0.101	0.001	0.001	1.985	0.167	0.689	2.674	0.856	1.266	2.841	0.867	0.80	0.80	0.20	2.32	0.06	0.94	0.55	0.67	0.19	0.14	4.04	0.80	0.56	0.05	-999.00	1.30	0.958587113	0.355324441
20091104	13:39:00	10	40.3535	-70.7124	0	-999	61.01411738	144.520102	21.29937847	-999	-999	-999	-999	-999	10-0400	1.863	0.092	0.318	0.055	0.019	0.073	0.055	0.071	0.008	0.649	0.050	0.011	1.847	0.001	0.016	0.092	0.001	0.216	0.102	0.003	0.011	0.009	0.021	0.077	0.001	0.001	2.273	0.200	0.791	3.064	0.991	1.401	3.264	0.949	0.75	0.80	0.20	2.29	0.06	0.94	0.57	0.74	0.15	0.11	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	5.494752661	0.834817629
20091104	13:39:00	10	40.3535	-70.7124	0	-999	-999	-999	-999	0.0178878	0.298083758	0.199919188	0.128488743	0.075839767	10-0401	3.298	0.156	0.546	0.083	0.024	0.112	0.062	0.134	0.017	1.217	0.067	0.019	3.264	0.001	0.033	0.156	0.001	0.359	0.187	0.004	0.018	0.013	0.039	0.125	0.001	0.001	4.000	0.315	1.420	5.420	1.735	2.437	5.735	1.657	0.74	0.82	0.18	2.31	0.05	0.95	0.58	0.77	0.12	0.11	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999
