/begin_header
/identifier_product_doi=10.5067/SeaBASS/CLIVEC/DATA001
/investigators=Antonio_Mannino,Margaret_Mulholland
/affiliations=Goddard_Space_Flight_Center,Old_Dominion_University
/contact=antonio.mannino@nasa.gov,mmulholl@odu.edu
/experiment=CliVEC
/cruise=CV4
/station=1,3,8,11,14,20,22,23,24,30,30A,31,32,32A,33,39,41,41A,41B,42,43,43A,45,46,48,50A,51,51A,51B,51C,53,51,53,58,59A,60,60A,61,62,66A,69,69A,71,77,80,81,82,83,87,89,91,92,93,94,101,103,104,104A,105,109,109A,110,112,114,118A,119,120,121,121A,122,126,127,128,129,129A,129B,130,136,139A,141,143
/data_file_name=CV4_OM_pigments_Seabass
/documents=DOM_analysis_CV4.doc,POCanalysis_CV4.doc
/calibration_files=Protocol_DOC_Shimadzu.txt
/data_type=pigment
/data_status=preliminary
/start_date=20100526
/end_date=20100609
/start_time=12:00:00[GMT]
/end_time=22:00:00[GMT]
/north_latitude=44.23[DEG]
/south_latitude=36.07[DEG]
/east_longitude=-66.2741[DEG]
/west_longitude=-75.911[DEG]
/water_depth=516
/cloud_percent=NA
/secchi_depth=NA
/wave_height=NA
/wind_speed=NA
!
!   COMMENTS   Pigments not found and those with SNR of 4 or less are given a concentration of 0.001,
!   Samples were collected with Go-Flo bottles deployed from a rosette; samples with depth designation 0  were collected from the ship's seawater flow-through system nominally 3.7m depth.
!   Depth values adjusted by 0.87m from CTD sensor to center of sampling bottle.
!   Units for DOC are in umol/L and not in umol/kg
!   NPP = net primary productivity (mg C/m^3/day) based on C uptake from enriched 13C bicarbonate incubations.
!   The CDOM S paramater is calculated from a non-linear fitting function from 300-600nm
!   N2_fix = nitrogen fixation rates  (mg N/m^3/day) based on N2 uptake from enriched 15N incubations.
!   Values listed as -777 are below the detection limit
!   S CDOM spectral slope values were calculated from a non-linear fitting function between 300-600nm
!
/missing=-999
/delimiter=tab
/fields=date,time,station,lat,lon,depth,water_depth,DOC,POC,PN,S,ag355,ag380,ag412,ag443,hpl_id,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha-beta-Car,But-fuco,Hex-fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,Chl_a,DV_Chl_a,Chlide_a,Chl_b,DV_Chl_b,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,TAcc_Tchla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,NO2_NO3,NO2,PO4,Urea,NH4,CHL,NPP,N2_fix
/units=yyyymmdd,hh:mm:ss,none,degrees,degrees,m,m,umol/L,mg/m^3,mg/m^3,1/m,1/m,1/m,1/m,1/m,none,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,none,none,none,none,none,none,none,none,none,none,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mg/m^3,mg/m^3/d,ug/m^3/d
/end_header
20100526	17:52:00	1	41.1091	-71.1089	2	37.4	108.61	169.3974452	26.42918443	0.019853224	0.393760325	0.254275792	0.149007021	0.08548516	10-1231	0.445	0.040	0.065	0.023	0.019	0.052	0.022	0.077	0.016	0.071	0.035	0.017	0.433	0.001	0.012	0.040	0.001	0.044	0.021	0.004	0.006	0.010	0.004	0.002	0.001	0.001	0.550	0.155	0.177	0.727	0.332	0.437	0.882	0.256	0.98	0.53	0.47	1.66	0.18	0.82	0.50	0.41	0.36	0.22	1.21	0.12	0.10	0.21	0.25	0.33	1.1270	-777.0000
20100526	17:50:00	1	41.1091	-71.1089	11.9	-999	103.56	226.3722771	36.68379557	0.01906972	0.445345833	0.286548854	0.17036038	0.098514459	10-1232	0.886	0.107	0.116	0.038	0.007	0.037	0.061	0.090	0.013	0.122	0.173	0.018	0.869	0.001	0.017	0.107	0.001	0.099	0.017	0.004	0.013	0.020	0.013	0.007	0.001	0.001	1.109	0.220	0.339	1.448	0.559	0.782	1.668	0.525	0.88	0.61	0.39	1.98	0.13	0.87	0.53	0.56	0.20	0.24	0.48	0.15	0.47	0.19	0.28	0.60	1.4396	1.3003
20100526	17:47:00	1	41.1091	-71.1089	34	-999	96.47	315.2788648	59.85433375	0.017695497	0.518188578	0.34447729	0.209590255	0.122183656	10-1233	0.991	0.033	0.172	0.039	0.001	0.004	0.018	0.037	0.001	0.479	0.006	0.016	0.898	0.001	0.093	0.033	0.001	0.154	0.018	0.001	0.003	0.004	0.143	0.151	0.001	0.001	1.196	0.110	0.489	1.685	0.599	0.804	1.795	0.556	0.81	0.82	0.18	2.00	0.06	0.94	0.55	0.87	0.04	0.09	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100526	17:47:00	1	41.1091	-71.1089	34	-999	-999	-999	-999	-999	-999	-999	-999	-999	10-1233.5	0.984	0.032	0.169	0.039	0.001	0.004	0.018	0.037	0.001	0.477	0.006	0.015	0.896	0.001	0.088	0.032	0.001	0.150	0.019	0.001	0.003	0.004	0.143	0.154	0.001	0.001	1.185	0.109	0.487	1.672	0.596	0.797	1.781	0.552	0.81	0.82	0.18	1.99	0.06	0.94	0.55	0.88	0.04	0.09	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100526	22:20:00	3	41.0959	-70.5728	2.8	43	87.22	286.3449491	48.49431571	0.01924174	0.422903341	0.275726504	0.162819769	0.091190797	10-1234	0.540	0.056	0.067	0.022	0.001	0.013	0.029	0.052	0.011	0.105	0.070	0.016	0.523	0.001	0.017	0.056	0.001	0.060	0.007	0.002	0.007	0.011	0.007	0.003	0.001	0.001	0.663	0.130	0.188	0.851	0.318	0.441	0.981	0.289	0.82	0.59	0.41	2.08	0.13	0.87	0.55	0.61	0.15	0.25	0.56	0.25	0.11	0.14	0.23	0.47	1.5675	0.8606
20100526	22:18:00	3	41.0959	-70.5728	7.3	-999	103.18	214.8438805	37.52048849	0.018396189	0.484641198	0.31882919	0.193566227	0.109992654	10-1235	0.532	0.075	0.065	0.021	0.001	0.014	0.027	0.048	0.011	0.081	0.114	0.019	0.520	0.001	0.011	0.075	0.001	0.057	0.008	0.003	0.009	0.012	0.007	0.007	0.001	0.001	0.672	0.126	0.209	0.881	0.335	0.475	1.007	0.330	0.89	0.62	0.38	2.01	0.13	0.87	0.53	0.59	0.12	0.28	-777.00	0.16	0.08	0.18	0.39	0.41	1.1778	0.4830
20100526	22:18:00	3	41.0959	-70.5728	7.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	10-1236	0.526	0.075	0.065	0.021	0.002	0.013	0.027	0.046	0.013	0.079	0.114	0.018	0.517	0.001	0.009	0.075	0.001	0.057	0.008	0.003	0.009	0.012	0.007	0.007	0.001	0.001	0.666	0.125	0.208	0.874	0.333	0.473	0.999	0.328	0.90	0.62	0.38	2.00	0.13	0.87	0.53	0.59	0.13	0.28	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0000	-999.0000
20100526	22:16:00	3	41.0959	-70.5728	21.6	-999	104.09	278.0149033	46.10055147	0.017807557	0.471828377	0.314171829	0.196749807	0.111133117	10-1237	1.187	0.037	0.223	0.035	0.001	0.004	0.045	0.040	0.001	0.472	0.067	0.014	1.040	0.001	0.147	0.037	0.001	0.205	0.018	0.001	0.004	0.001	0.042	0.067	0.001	0.001	1.447	0.134	0.543	1.990	0.677	0.937	2.124	0.639	0.79	0.80	0.20	2.14	0.06	0.94	0.56	0.84	0.08	0.08	0.37	0.21	0.35	0.18	0.98	0.86	0.6983	0.6909
20100527	10:56:00	8	40.3548	-71.9178	3	66.5	93.59	163.0176597	26.82521934	0.020554237	0.329583005	0.207944836	0.12149034	0.071390867	10-1238	0.409	0.022	0.079	0.025	0.029	0.081	0.014	0.049	0.004	0.055	0.025	0.044	0.403	0.001	0.006	0.022	0.001	0.045	0.034	0.001	0.002	0.006	0.003	0.001	0.001	0.001	0.510	0.136	0.190	0.700	0.326	0.427	0.836	0.270	1.04	0.58	0.42	1.56	0.16	0.84	0.49	0.30	0.46	0.24	0.38	0.25	0.24	0.27	0.29	0.28	0.9591	0.1789
20100527	10:54:00	8	40.3548	-71.9178	8	-999	103.18	227.21712	41.27073281	0.020557065	0.331777092	0.211889431	0.121364499	0.072350961	10-1239	0.411	0.022	0.078	0.025	0.030	0.080	0.014	0.048	0.004	0.054	0.027	0.047	0.402	0.001	0.009	0.022	0.001	0.045	0.033	0.001	0.003	0.007	0.004	0.001	0.001	0.001	0.511	0.138	0.191	0.702	0.329	0.429	0.840	0.274	1.04	0.58	0.42	1.55	0.16	0.84	0.49	0.30	0.45	0.25	1.57	0.24	0.45	0.24	0.26	0.32	0.6827	0.2079
